query_id,precision,recall,ap,running time
701,0.1,0.02,0.143,0.015
702,0.8,0.19,0.932,0.014
704,0.1,0.022,0.167,0.008
705,0.6,0.188,0.533,0.023
706,0.4,0.085,0.399,0.008
707,0.2,0.051,0.375,0.006
708,1.0,0.263,1.0,0.005
709,1.0,0.217,1.0,0.007
711,0.0,0.0,0.0,0.011
712,0.2,0.067,0.333,0.004
713,0.5,0.109,0.683,0.007
714,0.4,0.103,0.565,0.008
715,0.7,0.163,0.886,0.01
716,1.0,0.25,1.0,0.005
722,0.4,0.129,0.482,0.006
723,0.0,0.0,0.0,0.008
724,0.8,0.186,0.864,0.003
725,0.1,0.023,0.1,0.009
727,1.0,0.233,1.0,0.007
729,1.0,0.227,1.0,0.006
730,0.8,0.235,0.921,0.008
733,1.0,0.208,1.0,0.004
735,0.4,0.154,0.51,0.009
737,1.0,0.213,1.0,0.005
738,1.0,0.286,1.0,0.003
739,0.2,0.042,0.325,0.011
740,0.6,0.122,0.526,0.01
741,0.1,0.023,0.1,0.003
743,0.3,0.067,0.362,0.008
745,1.0,0.263,1.0,0.008
746,0.9,0.243,0.963,0.003
747,0.7,0.163,0.892,0.009
749,0.0,0.0,0.0,0.008
750,0.8,0.178,0.97,0.013
751,1.0,0.263,1.0,0.004
752,0.4,0.082,0.771,0.006
753,0.8,0.211,0.811,0.015
755,1.0,0.233,1.0,0.014
757,0.8,0.186,0.76,0.003
760,0.5,0.152,0.43,0.007
761,0.9,0.209,0.947,0.012
763,0.3,0.073,0.321,0.009
770,0.6,0.146,0.544,0.01
771,1.0,0.213,1.0,0.002
772,0.1,0.02,0.167,0.012
776,0.5,0.122,0.421,0.01
782,0.1,0.02,0.125,0.004
792,0.0,0.0,0.0,0.009
794,0.6,0.122,0.516,0.007
795,0.9,0.214,0.928,0.004
798,0.8,0.186,0.797,0.009
801,0.9,0.209,0.878,0.012
802,0.3,0.068,0.411,0.005
804,0.8,0.211,0.643,0.01
806,0.9,0.231,0.878,0.004
808,0.7,0.226,0.751,0.008
810,1.0,0.222,1.0,0.002
811,0.9,0.191,1.0,0.009
812,0.9,0.196,0.963,0.014
816,1.0,0.213,1.0,0.008
817,0.8,0.178,0.771,0.006
818,0.9,0.225,0.906,0.015
820,0.3,0.079,0.257,0.007
821,0.5,0.122,0.552,0.01
822,0.9,0.25,1.0,0.018
824,0.9,0.231,0.989,0.014
825,0.6,0.2,1.0,0.009
826,0.9,0.25,0.786,0.005
829,0.4,0.105,0.505,0.015
830,0.7,0.167,0.801,0.008
831,0.9,0.188,0.977,0.009
834,0.8,0.174,1.0,0.011
835,1.0,0.213,1.0,0.01
836,0.1,0.021,0.25,0.007
837,0.9,0.257,0.989,0.007
838,0.7,0.156,0.725,0.011
841,0.9,0.191,0.977,0.009
843,0.1,0.023,0.2,0.002
846,0.6,0.133,0.786,0.006
847,0.2,0.067,0.267,0.006
849,1.0,0.208,1.0,0.003
850,0.4,0.095,0.45,0.006
avg_precision,0.626
avg_recall,0.152
map,0.674
avg_running_time_per_query,0.008
max_running_time_per_query,0.023
min_running_time_per_query,0.002
