query_id,precision,recall,ap,running time
701,0.7,0.143,0.869,0.143
702,1.0,0.238,1.0,0.212
704,0.9,0.2,1.0,0.066
705,1.0,0.312,1.0,0.086
706,0.9,0.191,0.928,0.143
707,1.0,0.256,1.0,0.016
708,1.0,0.263,1.0,0.015
709,1.0,0.217,1.0,0.061
711,1.0,0.222,1.0,0.037
712,1.0,0.333,1.0,0.017
713,1.0,0.217,1.0,0.052
714,1.0,0.256,1.0,0.053
715,1.0,0.233,1.0,0.042
716,1.0,0.25,1.0,0.033
722,0.8,0.258,0.932,0.031
723,1.0,0.244,1.0,0.139
724,1.0,0.233,1.0,0.05
725,1.0,0.233,1.0,0.085
727,1.0,0.233,1.0,0.062
729,1.0,0.227,1.0,0.053
730,1.0,0.294,1.0,0.05
733,1.0,0.208,1.0,0.029
735,1.0,0.385,1.0,0.084
737,1.0,0.213,1.0,0.064
738,1.0,0.286,1.0,0.05
739,1.0,0.208,1.0,0.098
740,0.9,0.184,0.963,0.069
741,1.0,0.233,1.0,0.044
743,1.0,0.222,1.0,0.054
745,1.0,0.263,1.0,0.032
746,1.0,0.27,1.0,0.042
747,1.0,0.233,1.0,0.064
749,1.0,0.238,1.0,0.174
750,1.0,0.222,1.0,0.123
751,1.0,0.263,1.0,0.017
752,1.0,0.204,1.0,0.075
753,1.0,0.263,1.0,0.087
755,1.0,0.233,1.0,0.05
757,0.8,0.186,0.916,0.049
760,1.0,0.303,1.0,0.09
761,1.0,0.233,1.0,0.083
763,1.0,0.244,1.0,0.036
770,1.0,0.244,1.0,0.045
771,1.0,0.213,1.0,0.019
772,1.0,0.204,1.0,0.047
776,1.0,0.244,1.0,0.045
782,1.0,0.2,1.0,0.033
792,1.0,0.222,1.0,0.038
794,1.0,0.204,1.0,0.03
795,1.0,0.238,1.0,0.042
798,1.0,0.233,1.0,0.039
801,1.0,0.233,1.0,0.049
802,1.0,0.227,1.0,0.037
804,1.0,0.263,1.0,0.08
806,1.0,0.256,1.0,0.033
808,1.0,0.323,1.0,0.032
810,1.0,0.222,1.0,0.024
811,1.0,0.213,1.0,0.027
812,1.0,0.217,1.0,0.083
816,1.0,0.213,1.0,0.049
817,1.0,0.222,1.0,0.03
818,1.0,0.25,1.0,0.017
820,1.0,0.263,1.0,0.027
821,0.9,0.22,0.928,0.056
822,1.0,0.278,1.0,0.037
824,1.0,0.256,1.0,0.048
825,1.0,0.333,1.0,0.018
826,1.0,0.278,1.0,0.043
829,0.6,0.158,0.856,0.06
830,1.0,0.238,1.0,0.055
831,1.0,0.208,1.0,0.04
834,1.0,0.217,1.0,0.04
835,1.0,0.213,1.0,0.025
836,1.0,0.213,1.0,0.04
837,1.0,0.286,1.0,0.039
838,1.0,0.222,1.0,0.036
841,1.0,0.213,1.0,0.024
843,1.0,0.233,1.0,0.02
846,1.0,0.222,1.0,0.032
847,0.8,0.267,0.88,0.019
849,1.0,0.208,1.0,0.03
850,1.0,0.238,1.0,0.045
avg_precision,0.979
avg_recall,0.238
map,0.991
avg_running_time_per_query,0.054
max_running_time_per_query,0.212
min_running_time_per_query,0.015
