query_id,precision,recall,ap,running time
701,0.9,0.184,1.0,0.083
702,1.0,0.238,1.0,0.167
704,1.0,0.222,1.0,0.113
705,1.0,0.312,1.0,0.211
706,0.8,0.17,0.839,0.097
707,1.0,0.256,1.0,0.095
708,1.0,0.263,1.0,0.096
709,1.0,0.217,1.0,0.142
711,1.0,0.222,1.0,0.152
712,1.0,0.333,1.0,0.096
713,1.0,0.217,1.0,0.117
714,1.0,0.256,1.0,0.129
715,1.0,0.233,1.0,0.167
716,1.0,0.25,1.0,0.127
722,1.0,0.323,1.0,0.098
723,1.0,0.244,1.0,0.097
724,1.0,0.233,1.0,0.091
725,1.0,0.233,1.0,0.13
727,1.0,0.233,1.0,0.116
729,1.0,0.227,1.0,0.122
730,1.0,0.294,1.0,0.15
733,1.0,0.208,1.0,0.077
735,1.0,0.385,1.0,0.13
737,1.0,0.213,1.0,0.128
738,1.0,0.286,1.0,0.074
739,1.0,0.208,1.0,0.116
740,1.0,0.204,1.0,0.114
741,1.0,0.233,1.0,0.056
743,1.0,0.222,1.0,0.114
745,1.0,0.263,1.0,0.118
746,1.0,0.27,1.0,0.076
747,1.0,0.233,1.0,0.118
749,1.0,0.238,1.0,0.098
750,1.0,0.222,1.0,0.203
751,1.0,0.263,1.0,0.092
752,1.0,0.204,1.0,0.097
753,1.0,0.263,1.0,0.118
755,1.0,0.233,1.0,0.149
757,1.0,0.233,1.0,0.058
760,1.0,0.303,1.0,0.114
761,1.0,0.233,1.0,0.132
763,1.0,0.244,1.0,0.116
770,1.0,0.244,1.0,0.099
771,1.0,0.213,1.0,0.073
772,1.0,0.204,1.0,0.133
776,1.0,0.244,1.0,0.138
782,1.0,0.2,1.0,0.083
792,1.0,0.222,1.0,0.099
794,1.0,0.204,1.0,0.111
795,1.0,0.238,1.0,0.096
798,1.0,0.233,1.0,0.133
801,1.0,0.233,1.0,0.156
802,1.0,0.227,1.0,0.112
804,1.0,0.263,1.0,0.169
806,1.0,0.256,1.0,0.11
808,1.0,0.323,1.0,0.135
810,1.0,0.222,1.0,0.051
811,1.0,0.213,1.0,0.119
812,1.0,0.217,1.0,0.203
816,1.0,0.213,1.0,0.152
817,1.0,0.222,1.0,0.114
818,1.0,0.25,1.0,0.191
820,1.0,0.263,1.0,0.082
821,1.0,0.244,1.0,0.117
822,1.0,0.278,1.0,0.216
824,1.0,0.256,1.0,0.165
825,1.0,0.333,1.0,0.122
826,1.0,0.278,1.0,0.094
829,1.0,0.263,1.0,0.169
830,1.0,0.238,1.0,0.117
831,1.0,0.208,1.0,0.134
834,1.0,0.217,1.0,0.148
835,1.0,0.213,1.0,0.193
836,1.0,0.213,1.0,0.112
837,1.0,0.286,1.0,0.133
838,1.0,0.222,1.0,0.153
841,1.0,0.213,1.0,0.136
843,1.0,0.233,1.0,0.056
846,1.0,0.222,1.0,0.118
847,0.9,0.3,1.0,0.1
849,1.0,0.208,1.0,0.087
850,1.0,0.238,1.0,0.113
avg_precision,0.995
avg_recall,0.243
map,0.998
avg_running_time_per_query,0.121
max_running_time_per_query,0.216
min_running_time_per_query,0.051
