query_id,precision,recall,ap,running time
701,1.0,0.204,1.0,0.028
702,1.0,0.238,1.0,0.037
704,1.0,0.222,1.0,0.029
705,1.0,0.312,1.0,0.048
706,0.7,0.149,0.833,0.028
707,0.9,0.231,0.989,0.021
708,1.0,0.263,1.0,0.018
709,1.0,0.217,1.0,0.029
711,0.5,0.111,0.927,0.043
712,1.0,0.333,1.0,0.019
713,1.0,0.217,1.0,0.041
714,1.0,0.256,1.0,0.077
715,0.9,0.209,0.977,0.048
716,1.0,0.25,1.0,0.032
722,1.0,0.323,1.0,0.033
723,1.0,0.244,1.0,0.035
724,0.0,0.0,0.0,0.015
725,0.7,0.163,0.909,0.033
727,1.0,0.233,1.0,0.029
729,1.0,0.227,1.0,0.026
730,1.0,0.294,1.0,0.037
733,1.0,0.208,1.0,0.019
735,1.0,0.385,1.0,0.041
737,1.0,0.213,1.0,0.025
738,1.0,0.286,1.0,0.016
739,1.0,0.208,1.0,0.054
740,0.8,0.163,0.855,0.039
741,1.0,0.233,1.0,0.01
743,0.8,0.178,0.986,0.031
745,1.0,0.263,1.0,0.034
746,1.0,0.27,1.0,0.012
747,1.0,0.233,1.0,0.034
749,1.0,0.238,1.0,0.038
750,0.7,0.156,0.968,0.045
751,0.9,0.237,0.928,0.014
752,0.9,0.184,0.928,0.024
753,1.0,0.263,1.0,0.038
755,1.0,0.233,1.0,0.049
757,1.0,0.233,1.0,0.012
760,1.0,0.303,1.0,0.029
761,1.0,0.233,1.0,0.042
763,1.0,0.244,1.0,0.031
770,1.0,0.244,1.0,0.04
771,1.0,0.213,1.0,0.007
772,1.0,0.204,1.0,0.043
776,0.9,0.22,1.0,0.033
782,1.0,0.2,1.0,0.017
792,1.0,0.222,1.0,0.03
794,1.0,0.204,1.0,0.026
795,1.0,0.238,1.0,0.024
798,0.7,0.163,0.881,0.039
801,1.0,0.233,1.0,0.042
802,0.6,0.136,0.933,0.023
804,1.0,0.263,1.0,0.031
806,0.9,0.231,0.947,0.015
808,0.5,0.161,0.833,0.034
810,1.0,0.222,1.0,0.005
811,1.0,0.213,1.0,0.037
812,0.9,0.196,1.0,0.04
816,1.0,0.213,1.0,0.027
817,1.0,0.222,1.0,0.023
818,1.0,0.25,1.0,0.05
820,1.0,0.263,1.0,0.028
821,0.8,0.195,0.766,0.035
822,1.0,0.278,1.0,0.04
824,1.0,0.256,1.0,0.042
825,0.5,0.167,0.725,0.033
826,1.0,0.278,1.0,0.017
829,1.0,0.263,1.0,0.044
830,0.7,0.167,1.0,0.029
831,1.0,0.208,1.0,0.03
834,1.0,0.217,1.0,0.034
835,1.0,0.213,1.0,0.031
836,1.0,0.213,1.0,0.024
837,1.0,0.286,1.0,0.026
838,1.0,0.222,1.0,0.035
841,0.9,0.191,0.786,0.032
843,1.0,0.233,1.0,0.006
846,1.0,0.222,1.0,0.022
847,0.3,0.1,0.362,0.022
849,1.0,0.208,1.0,0.008
850,1.0,0.238,1.0,0.021
avg_precision,0.921
avg_recall,0.223
map,0.958
avg_running_time_per_query,0.03
max_running_time_per_query,0.077
min_running_time_per_query,0.005
