Classification report for Rochhio classifier:
(with TF-IDF scoring and Euclidean Distance)
                 precision    recall  f1-score   support
         701       0.89      0.53      0.67        15
         702       0.00      0.00      0.00        14
         703       1.00      0.18      0.31        11
         704       1.00      0.42      0.59        12
         705       0.75      0.38      0.50         8
         706       1.00      0.71      0.83        14
         707       0.69      0.69      0.69        13
         708       0.88      0.78      0.82         9
         709       1.00      0.50      0.67        14
         710       1.00      0.57      0.73        14
         711       0.83      0.38      0.53        13
         712       1.00      0.62      0.77         8
         713       0.89      0.53      0.67        15
         714       1.00      0.53      0.70        15
         715       0.86      0.46      0.60        13
         716       1.00      0.42      0.59        12
         717       1.00      0.85      0.92        13
         718       0.62      0.33      0.43        15
         719       0.83      0.38      0.53        13
         720       1.00      0.40      0.57        10
         721       0.00      0.00      0.00        12
         722       1.00      0.83      0.91         6
         723       0.89      0.67      0.76        12
         724       1.00      0.08      0.15        12
         725       1.00      0.57      0.73        14
         726       1.00      0.42      0.59        12
         727       1.00      0.36      0.53        14
         728       0.80      0.29      0.42        14
         729       0.14      0.38      0.20        13
         730       1.00      0.11      0.20         9
         731       0.67      0.44      0.53         9
         732       0.89      0.53      0.67        15
         733       1.00      0.38      0.56        13
         734       1.00      0.46      0.63        13
         735       1.00      0.43      0.60         7
         736       1.00      0.70      0.82        10
         737       0.83      0.38      0.53        13
         738       1.00      0.30      0.46        10
         739       0.57      0.57      0.57        14
         740       0.88      0.54      0.67        13
         741       0.80      0.33      0.47        12
         742       1.00      0.67      0.80        15
         743       0.50      0.08      0.14        12
         744       0.89      0.53      0.67        15
         745       0.60      0.33      0.43         9
         746       1.00      0.55      0.71        11
         747       0.78      0.54      0.64        13
         748       0.92      0.85      0.88        13
         749       1.00      0.21      0.35        14
         750       0.50      0.23      0.32        13
         751       0.14      0.09      0.11        11
         752       0.90      0.60      0.72        15
         753       1.00      0.45      0.62        11
         754       1.00      0.50      0.67        12
         755       0.15      0.73      0.24        11
         756       1.00      0.23      0.38        13
         757       1.00      0.62      0.76        13
         758       1.00      0.67      0.80         9
         759       1.00      0.08      0.15        12
         760       1.00      0.73      0.84        11
         761       1.00      0.46      0.63        13
         762       0.30      0.67      0.41         9
         763       0.33      0.10      0.15        10
         764       0.71      0.33      0.45        15
         765       1.00      0.57      0.73        14
         766       1.00      0.50      0.67        12
         767       1.00      0.64      0.78        14
         768       0.17      0.27      0.21        11
         769       0.00      0.00      0.00        13
         770       1.00      0.17      0.29        12
         771       1.00      0.21      0.35        14
         772       1.00      0.60      0.75        15
         773       0.86      0.43      0.57        14
         774       1.00      0.58      0.74        12
         775       1.00      0.25      0.40        12
         776       0.78      0.70      0.74        10
         777       1.00      0.40      0.57        10
         778       0.00      0.00      0.00        15
         779       0.44      0.47      0.45        15
         780       1.00      0.12      0.22         8
         781       0.50      0.38      0.43        13
         782       1.00      0.53      0.70        15
         783       1.00      0.67      0.80        12
         784       1.00      0.07      0.12        15
         785       1.00      0.40      0.57        15
